t # guarino2016value
v 1 quality
v 2 quality
v 3 relator
v 4 quality
v 5 quality
v 6 relator
v 7 relator
v 8 roleMixin
v 9 category
v 10 relator
v 11 mixin
v 12 quality
v 13 quality
v 14 role
v 15 role
v 16 category
v 17 category
v 18 quality
v 19 Generalization
v 20 Generalization
v 21 characterization
v 22 mediation
v 23 mediation
v 24 relation
v 25 relation
v 26 characterization
v 27 characterization
v 28 mediation
v 29 mediation
v 30 mediation
v 31 characterization
v 32 characterization
v 33 relation
v 34 relation
v 35 relation
v 36 characterization
v 37 mediation
v 38 mediation
v 39 relation
v 40 relation
v 41 relation
v 42 relation
v 43 relation
v 44 relation
v 45 characterization
v 46 formal
v 47 formal
v 48 formal
v 49 formal
v 50 formal
v 51 characterization
v 52 mediation
v 53 formal
v 54 formal
v 55 formal
v 56 formal
v 57 relation
e 2297 1172 general
e 2297 1171 specific
e 2298 1162 general
e 2298 1168 specific
e 2299 1172 general
e 2299 1165 specific
e 2300 1162 general
e 2300 1164 specific
e 2301 1162 general
e 2301 1163 specific
e 2302 1167 general
e 2302 1162 specific
e 2303 1181 general
e 2303 1194 specific
e 2304 1181 general
e 2304 1193 specific
e 2305 1180 general
e 2305 1182 specific
e 2306 1185 general
e 2306 1178 specific
e 2307 1188 general
e 2307 1177 specific
e 2308 1180 general
e 2308 1087 specific
e 2309 1192 general
e 2309 1185 specific
e 2310 1194 general
e 2310 740 specific
e 2311 1192 general
e 2311 1183 specific
e 2312 1195 general
e 2312 1191 specific
e 2313 1195 general
e 2313 1190 specific
e 2314 1192 general
e 2314 1145 specific
e 2315 1192 general
e 2315 1143 specific
e 2316 1198 general
e 2316 1208 specific
e 2317 1199 general
e 2317 740 specific
e 2318 1197 general
e 2318 740 specific
e 2319 1197 general
e 2319 715 specific
e 2320 1201 general
e 2320 1200 specific
e 2321 1198 general
e 2321 738 specific
e 2322 1199 general
e 2322 1198 specific
e 2323 1199 general
e 2323 1046 specific
e 2324 1205 general
e 2324 384 specific
e 2325 1205 general
e 2325 383 specific
e 2326 1208 general
e 2326 1209 specific
e 2327 1208 general
e 2327 1206 specific
e 2328 1213 general
e 2328 443 specific
e 2329 1211 general
e 2329 441 specific
e 2330 1211 general
e 2330 1095 specific
e 2331 1211 general
e 2331 749 specific
e 2332 1211 general
e 2332 1220 specific
e 2333 1222 general
e 2333 947 specific
e 2334 1220 general
e 2334 1222 specific
e 2335 1220 general
e 2335 946 specific
e 2336 1220 general
e 2336 1221 specific
e 2337 1215 general
e 2337 944 specific
e 2338 1221 general
e 2338 769 specific
e 2339 1214 general
e 2339 768 specific
e 2340 1219 general
e 2340 767 specific
e 2341 1217 general
e 2341 1016 specific
e 2342 2984 source
e 2342 736 target
e 2984 1198 source
e 2984 1201 target
e 2343 2974 source
e 2343 1187 target
e 2974 1185 source
e 2974 1180 target
e 2344 2979 source
e 2344 1189 target
e 2979 1181 source
e 2979 1180 target
e 2345 2981 source
e 2345 1184 target
e 2981 1175 source
e 2981 1174 target
e 2346 2895 source
e 2346 1042 target
e 2895 1035 source
e 2895 1044 target
e 2347 2909 source
e 2347 1038 target
e 2909 1029 target
e 2348 2911 source
e 2348 1037 target
e 2911 1025 target
e 2349 2629 source
e 2349 552 target
e 2629 569 source
e 2629 571 target
e 2350 2635 source
e 2350 548 target
e 2635 561 source
e 2635 565 target
e 2351 2580 source
e 2351 477 target
e 2580 474 source
e 2580 476 target
e 2352 2585 source
e 2352 475 target
e 2585 474 target
e 2353 2515 source
e 2353 438 target
e 2515 434 source
e 2515 439 target
e 2354 2804 source
e 2354 846 target
e 2804 851 source
e 2804 833 target
e 2355 2831 source
e 2355 877 target
e 2831 879 source
e 2831 874 target
e 2356 2807 source
e 2356 842 target
e 2807 849 source
e 2807 832 target
e 2357 2917 source
e 2357 1141 target
e 2917 1046 source
e 2917 1145 target
e 2358 2811 source
e 2358 839 target
e 2811 847 source
e 2811 837 target
e 2359 2950 source
e 2359 1142 target
e 2950 1144 source
e 2950 1143 target
e 2360 2852 source
e 2360 803 target
e 2852 930 source
e 2852 808 target
e 2361 2946 source
e 2361 1132 target
e 2946 1134 source
e 2946 1133 target
e 2362 2935 source
e 2362 1061 target
e 2935 1063 source
e 2935 1060 target
e 2363 2823 source
e 2363 883 target
e 2823 858 source
e 2823 861 target
e 2364 2834 source
e 2364 882 target
e 2834 876 source
e 2834 864 target
e 2365 2786 source
e 2365 809 target
e 2786 801 source
e 2786 875 target
e 2366 2941 source
e 2366 1067 target
e 2941 1066 source
e 2941 1065 target
e 2367 2839 source
e 2367 886 target
e 2839 893 source
e 2839 885 target
e 2368 2863 source
e 2368 944 target
e 2863 947 source
e 2863 945 target
e 2369 2822 source
e 2369 841 target
e 2822 838 source
e 2822 835 target
e 2370 2788 source
e 2370 798 target
e 2788 799 source
e 2788 797 target
e 2371 2673 source
e 2371 632 target
e 2673 633 source
e 2673 636 target
e 2372 2675 source
e 2372 631 target
e 2675 635 source
e 2675 634 target
e 2373 2677 source
e 2373 629 target
e 2677 630 source
e 2677 690 target
e 2374 2887 source
e 2374 993 target
e 2887 994 source
e 2887 996 target
e 2375 2892 source
e 2375 789 target
e 2892 1007 source
e 2892 785 target
e 2376 2531 source
e 2376 419 target
e 2531 418 source
e 2531 440 target
e 2377 2532 source
e 2377 435 target
e 2532 442 source
e 2532 428 target
e 2378 2861 source
e 2378 936 target
e 2861 941 source
e 2861 1005 target
e 2379 2965 source
e 2379 1164 target
e 2965 1170 source
e 2965 1166 target
e 2380 2872 source
e 2380 709 target
e 2872 962 source
e 2872 1016 target
e 2381 24 source
e 2381 460 target
e 2382 24 source
e 2382 465 target
e 2383 24 target
e 2384 24 source
e 2384 23 target
e 2385 24 source
e 2385 16 target
e 2386 16 source
e 2386 23 target
e 2387 48 source
e 2387 34 target
e 2388 47 source
e 2388 35 target
e 2389 46 source
e 2389 31 target
e 2390 43 source
e 2390 46 target
e 2391 30 source
e 2391 45 target
e 2392 38 source
e 2392 44 target
e 2393 43 source
e 2393 460 target
e 2394 43 source
e 2394 465 target
e 2395 43 source
e 2395 42 target
e 2396 43 source
e 2396 31 target
e 2397 41 source
e 2397 40 target
e 2398 36 source
e 2398 39 target
e 2399 30 source
e 2399 37 target
e 2400 32 source
e 2400 33 target
e 2401 71 source
e 2401 96 target
e 2402 52 source
e 2402 94 target
e 2403 69 source
e 2403 89 target
e 2404 59 source
e 2404 87 target
e 2405 85 source
e 2405 63 target
e 2406 58 source
e 2406 82 target
e 2407 79 source
e 2407 54 target
e 2408 78 source
e 2408 66 target
e 2409 63 source
e 2409 77 target
e 2410 56 source
e 2410 72 target
e 2411 55 source
e 2411 65 target
e 2412 50 source
e 2412 53 target
e 2413 107 source
e 2413 100 target
e 2414 100 source
e 2414 136 target
e 2415 100 source
e 2415 133 target
e 2416 102 source
e 2416 284 target
e 2417 109 source
e 2417 121 target
e 2418 117 source
e 2418 121 target
e 2419 120 source
e 2419 121 target
e 2420 108 source
e 2420 104 target
e 2421 110 source
e 2421 119 target
e 2422 112 source
e 2422 119 target
e 2423 111 source
e 2423 118 target
e 2424 116 source
e 2424 108 target
e 2425 116 source
e 2425 113 target
e 2426 108 source
e 2426 113 target
e 2427 110 source
e 2427 112 target
e 2428 135 source
e 2428 131 target
e 2429 134 source
e 2429 100 target
e 2430 134 source
e 2430 123 target
e 2431 131 source
e 2431 134 target
e 2432 132 source
e 2432 127 target
e 2433 129 source
e 2433 130 target
e 2434 124 source
e 2434 130 target
e 2435 124 source
e 2435 129 target
e 2436 155 source
e 2436 5 target
e 2437 154 source
e 2437 8 target
e 2438 141 source
e 2438 8 target
e 2439 153 source
e 2439 7 target
e 2440 141 source
e 2440 5 target
e 2441 177 source
e 2441 263 target
e 2442 176 source
e 2442 263 target
e 2443 173 source
e 2443 263 target
e 2444 189 source
e 2444 174 target
e 2445 187 source
e 2445 174 target
e 2446 186 source
e 2446 174 target
e 2447 211 source
e 2447 264 target
e 2448 251 source
e 2448 228 target
e 2449 239 source
e 2449 231 target
e 2450 237 source
e 2450 318 target
e 2451 228 source
e 2451 237 target
e 2452 234 source
e 2452 237 target
e 2453 233 source
e 2453 237 target
e 2454 232 source
e 2454 231 target
e 2455 222 source
e 2455 318 target
e 2456 229 source
e 2456 228 target
e 2457 264 source
e 2457 459 target
e 2458 263 source
e 2458 460 target
e 2459 260 source
e 2459 318 target
e 2460 269 source
e 2460 465 target
e 2461 269 source
e 2461 268 target
e 2462 269 source
e 2462 255 target
e 2463 268 source
e 2463 255 target
e 2464 275 source
e 2464 272 target
e 2465 292 source
e 2465 272 target
e 2466 280 source
e 2466 293 target
e 2467 292 source
e 2467 275 target
e 2468 318 source
e 2468 464 target
e 2469 318 source
e 2469 8 target
e 2470 318 source
e 2470 472 target
e 2471 320 source
e 2471 472 target
e 2472 317 source
e 2472 320 target
e 2473 314 source
e 2473 320 target
e 2474 316 source
e 2474 320 target
e 2475 325 source
e 2475 339 target
e 2476 338 target
e 2477 328 source
e 2477 337 target
e 2478 325 source
e 2478 334 target
e 2479 334 source
e 2479 332 target
e 2480 328 source
e 2480 327 target
e 2481 327 source
e 2481 485 target
e 2482 344 source
e 2482 350 target
e 2483 355 source
e 2483 357 target
e 2484 356 source
e 2484 347 target
e 2485 349 source
e 2485 351 target
e 2486 362 source
e 2486 119 target
e 2487 364 source
e 2487 369 target
e 2488 367 source
e 2488 368 target
e 2489 366 source
e 2489 363 target
e 2490 375 source
e 2490 380 target
e 2491 378 source
e 2491 384 target
e 2492 383 source
e 2492 373 target
e 2493 370 source
e 2493 382 target
e 2494 372 source
e 2494 381 target
e 2495 379 source
e 2495 374 target
e 2496 371 source
e 2496 373 target
e 2497 395 source
e 2497 413 target
e 2498 395 source
e 2498 359 target
e 2499 395 source
e 2499 411 target
e 2500 393 source
e 2500 409 target
e 2501 409 source
e 2501 388 target
e 2502 395 source
e 2502 406 target
e 2503 405 source
e 2503 396 target
e 2504 404 source
e 2504 395 target
e 2505 393 source
e 2505 402 target
e 2506 402 source
e 2506 388 target
e 2507 395 source
e 2507 465 target
e 2508 389 source
e 2508 395 target
e 2509 393 source
e 2509 388 target
e 2510 445 source
e 2510 444 target
e 2511 436 source
e 2511 443 target
e 2512 435 source
e 2512 442 target
e 2513 441 source
e 2513 416 target
e 2514 419 source
e 2514 440 target
e 2516 438 source
e 2516 439 target
e 2517 438 source
e 2517 465 target
e 2518 438 source
e 2518 424 target
e 2519 438 source
e 2519 415 target
e 2520 438 source
e 2520 434 target
e 2521 419 source
e 2521 437 target
e 2522 435 source
e 2522 431 target
e 2523 435 source
e 2523 421 target
e 2524 435 source
e 2524 428 target
e 2525 430 source
e 2525 427 target
e 2526 414 source
e 2526 426 target
e 2527 425 source
e 2527 423 target
e 2528 424 source
e 2528 420 target
e 2529 419 source
e 2529 466 target
e 2530 419 source
e 2530 418 target
e 2533 435 source
e 2533 419 target
e 2534 451 source
e 2534 450 target
e 2535 449 source
e 2535 450 target
e 2536 447 source
e 2536 450 target
e 2537 446 source
e 2537 450 target
e 2538 448 source
e 2538 447 target
e 2539 465 source
e 2539 116 target
e 2540 453 source
e 2540 63 target
e 2541 465 source
e 2541 110 target
e 2542 452 source
e 2542 1195 target
e 2543 452 source
e 2543 1006 target
e 2544 452 source
e 2544 998 target
e 2545 465 source
e 2545 558 target
e 2546 465 source
e 2546 519 target
e 2547 465 source
e 2547 519 target
e 2548 465 source
e 2548 516 target
e 2549 465 source
e 2549 550 target
e 2550 465 source
e 2550 547 target
e 2551 456 source
e 2551 484 target
e 2552 456 source
e 2552 479 target
e 2553 454 source
e 2553 395 target
e 2554 465 source
e 2554 993 target
e 2555 454 source
e 2555 993 target
e 2556 453 source
e 2556 450 target
e 2557 455 source
e 2557 1132 target
e 2558 461 source
e 2558 1089 target
e 2559 463 source
e 2559 1095 target
e 2560 465 source
e 2560 948 target
e 2561 465 source
e 2561 1215 target
e 2562 465 source
e 2562 1215 target
e 2563 453 source
e 2563 943 target
e 2564 454 source
e 2564 721 target
e 2565 468 source
e 2565 1095 target
e 2566 467 source
e 2566 468 target
e 2567 454 source
e 2567 438 target
e 2568 465 source
e 2568 435 target
e 2569 467 source
e 2569 431 target
e 2570 454 source
e 2570 419 target
e 2571 465 source
e 2571 419 target
e 2572 453 source
e 2572 685 target
e 2573 453 source
e 2573 973 target
e 2574 453 source
e 2574 970 target
e 2575 469 source
e 2575 968 target
e 2576 470 source
e 2576 970 target
e 2577 477 source
e 2577 476 target
e 2578 477 source
e 2578 474 target
e 2579 475 source
e 2579 477 target
e 2581 475 source
e 2581 466 target
e 2582 475 source
e 2582 453 target
e 2583 475 source
e 2583 473 target
e 2584 475 source
e 2584 474 target
e 2586 486 source
e 2586 335 target
e 2587 485 source
e 2587 488 target
e 2588 487 source
e 2588 484 target
e 2589 487 source
e 2589 483 target
e 2590 487 target
e 2591 487 target
e 2592 482 source
e 2592 487 target
e 2593 486 source
e 2593 485 target
e 2594 486 source
e 2594 478 target
e 2595 483 source
e 2595 484 target
e 2596 483 target
e 2597 483 target
e 2598 479 source
e 2598 483 target
e 2599 482 source
e 2599 456 target
e 2600 482 target
e 2601 479 target
e 2602 494 source
e 2602 1012 target
e 2603 490 source
e 2603 1012 target
e 2604 490 source
e 2604 494 target
e 2605 493 source
e 2605 491 target
e 2606 490 source
e 2606 489 target
e 2607 502 source
e 2607 494 target
e 2608 527 source
e 2608 529 target
e 2609 528 source
e 2609 510 target
e 2610 528 source
e 2610 519 target
e 2611 527 source
e 2611 518 target
e 2612 527 source
e 2612 524 target
e 2613 521 source
e 2613 526 target
e 2614 514 source
e 2614 525 target
e 2615 523 source
e 2615 598 target
e 2616 523 source
e 2616 592 target
e 2617 523 source
e 2617 585 target
e 2618 514 source
e 2618 521 target
e 2619 520 source
e 2619 577 target
e 2620 520 source
e 2620 590 target
e 2621 520 source
e 2621 587 target
e 2622 516 source
e 2622 519 target
e 2623 519 source
e 2623 509 target
e 2624 519 source
e 2624 510 target
e 2625 513 source
e 2625 517 target
e 2626 514 source
e 2626 515 target
e 2627 548 source
e 2627 1000 target
e 2628 572 source
e 2628 573 target
e 2630 552 source
e 2630 571 target
e 2631 570 source
e 2631 560 target
e 2632 552 source
e 2632 569 target
e 2633 562 source
e 2633 568 target
e 2634 564 source
e 2634 567 target
e 2636 548 source
e 2636 565 target
e 2637 563 source
e 2637 555 target
e 2638 548 source
e 2638 561 target
e 2639 558 source
e 2639 550 target
e 2640 550 source
e 2640 557 target
e 2641 547 source
e 2641 555 target
e 2642 550 source
e 2642 555 target
e 2643 550 source
e 2643 551 target
e 2644 547 source
e 2644 549 target
e 2645 576 source
e 2645 596 target
e 2646 575 source
e 2646 523 target
e 2647 581 source
e 2647 521 target
e 2648 591 source
e 2648 595 target
e 2649 581 source
e 2649 520 target
e 2650 582 source
e 2650 588 target
e 2651 586 source
e 2651 580 target
e 2652 600 source
e 2652 450 target
e 2653 615 source
e 2653 618 target
e 2654 612 source
e 2654 595 target
e 2655 612 source
e 2655 613 target
e 2656 609 source
e 2656 582 target
e 2657 609 source
e 2657 582 target
e 2658 609 source
e 2658 607 target
e 2659 608 source
e 2659 601 target
e 2660 605 source
e 2660 602 target
e 2661 620 source
e 2661 628 target
e 2662 628 source
e 2662 625 target
e 2663 627 source
e 2663 625 target
e 2664 620 source
e 2664 627 target
e 2665 623 source
e 2665 626 target
e 2666 626 source
e 2666 621 target
e 2667 622 source
e 2667 624 target
e 2668 623 source
e 2668 619 target
e 2669 619 source
e 2669 621 target
e 2670 620 source
e 2670 457 target
e 2671 622 source
e 2671 457 target
e 2672 632 source
e 2672 636 target
e 2674 631 source
e 2674 635 target
e 2676 629 source
e 2676 690 target
e 2678 631 source
e 2678 634 target
e 2679 632 source
e 2679 633 target
e 2680 629 source
e 2680 630 target
e 2681 671 source
e 2681 657 target
e 2682 670 source
e 2682 662 target
e 2683 649 source
e 2683 669 target
e 2684 654 source
e 2684 668 target
e 2685 667 source
e 2685 640 target
e 2686 665 source
e 2686 659 target
e 2687 652 source
e 2687 664 target
e 2688 663 source
e 2688 645 target
e 2689 662 source
e 2689 685 target
e 2690 661 source
e 2690 651 target
e 2691 647 source
e 2691 660 target
e 2692 659 source
e 2692 685 target
e 2693 659 source
e 2693 685 target
e 2694 658 source
e 2694 685 target
e 2695 657 source
e 2695 685 target
e 2696 645 source
e 2696 685 target
e 2697 638 source
e 2697 685 target
e 2698 638 source
e 2698 685 target
e 2699 650 source
e 2699 638 target
e 2700 637 source
e 2700 642 target
e 2701 685 source
e 2701 628 target
e 2702 685 source
e 2702 624 target
e 2703 685 source
e 2703 623 target
e 2704 697 source
e 2704 457 target
e 2705 685 source
e 2705 458 target
e 2706 697 source
e 2706 685 target
e 2707 692 source
e 2707 681 target
e 2708 692 source
e 2708 685 target
e 2709 691 source
e 2709 685 target
e 2710 690 source
e 2710 685 target
e 2711 677 source
e 2711 685 target
e 2712 680 source
e 2712 685 target
e 2713 676 source
e 2713 685 target
e 2714 685 source
e 2714 457 target
e 2715 736 source
e 2715 1201 target
e 2716 738 source
e 2716 1200 target
e 2717 736 source
e 2717 1198 target
e 2718 737 source
e 2718 1196 target
e 2719 709 source
e 2719 743 target
e 2720 732 source
e 2720 735 target
e 2721 711 source
e 2721 735 target
e 2722 709 source
e 2722 712 target
e 2723 734 source
e 2723 719 target
e 2724 734 source
e 2724 1204 target
e 2725 733 source
e 2725 722 target
e 2726 733 source
e 2726 726 target
e 2727 731 source
e 2727 711 target
e 2728 711 source
e 2728 732 target
e 2729 709 source
e 2729 962 target
e 2730 715 source
e 2730 728 target
e 2731 718 source
e 2731 728 target
e 2732 711 source
e 2732 724 target
e 2733 715 source
e 2733 718 target
e 2734 711 source
e 2734 716 target
e 2735 713 source
e 2735 711 target
e 2736 738 source
e 2736 726 target
e 2737 733 source
e 2737 738 target
e 2738 734 source
e 2738 736 target
e 2739 718 source
e 2739 737 target
e 2740 709 source
e 2740 1016 target
e 2741 743 source
e 2741 454 target
e 2742 742 source
e 2742 709 target
e 2743 741 source
e 2743 709 target
e 2744 745 source
e 2744 709 target
e 2745 746 source
e 2745 454 target
e 2746 746 source
e 2746 744 target
e 2747 747 source
e 2747 756 target
e 2748 747 source
e 2748 748 target
e 2749 750 source
e 2749 751 target
e 2750 750 source
e 2750 749 target
e 2751 753 source
e 2751 750 target
e 2752 753 source
e 2752 752 target
e 2753 756 source
e 2753 753 target
e 2754 756 source
e 2754 755 target
e 2755 756 source
e 2755 754 target
e 2756 757 source
e 2756 762 target
e 2757 757 source
e 2757 761 target
e 2758 757 source
e 2758 760 target
e 2759 757 source
e 2759 759 target
e 2760 763 source
e 2760 757 target
e 2761 764 source
e 2761 757 target
e 2762 768 source
e 2762 769 target
e 2763 768 source
e 2763 767 target
e 2764 768 source
e 2764 766 target
e 2765 766 source
e 2765 767 target
e 2766 766 source
e 2766 765 target
e 2767 771 source
e 2767 773 target
e 2768 771 source
e 2768 772 target
e 2769 770 source
e 2769 771 target
e 2770 783 source
e 2770 776 target
e 2771 783 source
e 2771 775 target
e 2772 779 source
e 2772 781 target
e 2773 785 source
e 2773 800 target
e 2774 786 source
e 2774 1016 target
e 2775 785 source
e 2775 454 target
e 2776 785 source
e 2776 796 target
e 2777 785 source
e 2777 454 target
e 2778 789 source
e 2778 785 target
e 2779 789 source
e 2779 1007 target
e 2780 791 source
e 2780 454 target
e 2781 791 source
e 2781 454 target
e 2782 809 source
e 2782 875 target
e 2783 809 source
e 2783 801 target
e 2784 803 source
e 2784 808 target
e 2785 803 source
e 2785 807 target
e 2787 803 source
e 2787 930 target
e 2789 798 source
e 2789 799 target
e 2790 798 source
e 2790 797 target
e 2791 799 source
e 2791 466 target
e 2792 813 source
e 2792 820 target
e 2793 810 source
e 2793 811 target
e 2794 821 source
e 2794 810 target
e 2795 821 source
e 2795 811 target
e 2796 818 source
e 2796 820 target
e 2797 824 source
e 2797 812 target
e 2798 810 source
e 2798 812 target
e 2799 818 source
e 2799 817 target
e 2800 818 source
e 2800 487 target
e 2801 822 source
e 2801 816 target
e 2802 822 source
e 2802 494 target
e 2803 840 source
e 2803 852 target
e 2805 846 source
e 2805 851 target
e 2806 850 source
e 2806 840 target
e 2808 842 source
e 2808 849 target
e 2809 840 source
e 2809 848 target
e 2810 844 source
e 2810 848 target
e 2812 839 source
e 2812 847 target
e 2813 846 source
e 2813 833 target
e 2814 840 source
e 2814 845 target
e 2815 840 source
e 2815 856 target
e 2816 842 source
e 2816 832 target
e 2817 841 source
e 2817 838 target
e 2818 841 source
e 2818 835 target
e 2819 840 source
e 2819 833 target
e 2820 840 source
e 2820 834 target
e 2821 839 source
e 2821 837 target
e 2824 883 source
e 2824 858 target
e 2825 883 source
e 2825 861 target
e 2826 882 source
e 2826 864 target
e 2827 882 source
e 2827 876 target
e 2828 862 source
e 2828 878 target
e 2829 871 source
e 2829 881 target
e 2830 880 source
e 2830 881 target
e 2832 877 source
e 2832 879 target
e 2833 877 source
e 2833 874 target
e 2835 870 source
e 2835 866 target
e 2836 873 source
e 2836 868 target
e 2837 885 source
e 2837 200 target
e 2838 885 source
e 2838 890 target
e 2840 886 source
e 2840 885 target
e 2841 885 source
e 2841 892 target
e 2842 885 source
e 2842 888 target
e 2843 885 source
e 2843 887 target
e 2844 886 source
e 2844 893 target
e 2845 913 source
e 2845 712 target
e 2846 917 source
e 2846 897 target
e 2847 897 source
e 2847 913 target
e 2848 906 source
e 2848 897 target
e 2849 902 source
e 2849 897 target
e 2850 901 source
e 2850 897 target
e 2851 930 source
e 2851 934 target
e 2853 943 source
e 2853 454 target
e 2854 943 source
e 2854 453 target
e 2855 936 source
e 2855 943 target
e 2856 936 source
e 2856 941 target
e 2857 936 source
e 2857 940 target
e 2858 939 source
e 2858 873 target
e 2859 938 source
e 2859 935 target
e 2860 936 source
e 2860 1005 target
e 2862 948 source
e 2862 465 target
e 2864 944 source
e 2864 947 target
e 2865 944 source
e 2865 945 target
e 2866 963 source
e 2866 960 target
e 2867 963 source
e 2867 959 target
e 2868 964 source
e 2868 961 target
e 2869 963 source
e 2869 958 target
e 2870 963 source
e 2870 962 target
e 2871 960 source
e 2871 957 target
e 2873 971 source
e 2873 970 target
e 2874 973 source
e 2874 970 target
e 2875 970 source
e 2875 969 target
e 2876 968 source
e 2876 970 target
e 2877 967 source
e 2877 471 target
e 2878 973 source
e 2878 966 target
e 2879 970 source
e 2879 965 target
e 2880 990 source
e 2880 471 target
e 2881 986 source
e 2881 452 target
e 2882 986 source
e 2882 452 target
e 2883 985 source
e 2883 471 target
e 2884 993 source
e 2884 996 target
e 2885 993 source
e 2885 995 target
e 2886 993 source
e 2886 994 target
e 2888 995 source
e 2888 812 target
e 2889 997 source
e 2889 1192 target
e 2890 1003 source
e 2890 1002 target
e 2891 1000 source
e 2891 548 target
e 2893 1016 source
e 2893 946 target
e 2894 1042 source
e 2894 1044 target
e 2896 1043 target
e 2897 1042 source
e 2897 1035 target
e 2898 1041 target
e 2899 1040 target
e 2900 1039 target
e 2901 1038 source
e 2901 1037 target
e 2902 1038 source
e 2902 1029 target
e 2903 1037 source
e 2903 1025 target
e 2904 1034 target
e 2905 1018 source
e 2905 1033 target
e 2906 1032 source
e 2906 1019 target
e 2907 1030 target
e 2908 1030 target
e 2910 1027 source
e 2910 1026 target
e 2912 1024 target
e 2913 1023 source
e 2913 1021 target
e 2914 1022 target
e 2915 1020 target
e 2916 1017 target
e 2918 1046 source
e 2918 1049 target
e 2919 1046 source
e 2919 1152 target
e 2920 1046 source
e 2920 1045 target
e 2921 1046 source
e 2921 1141 target
e 2922 1046 source
e 2922 1079 target
e 2923 1045 source
e 2923 1157 target
e 2924 1045 source
e 2924 1128 target
e 2925 1045 source
e 2925 1152 target
e 2926 1045 source
e 2926 1126 target
e 2927 1049 source
e 2927 1079 target
e 2928 1049 source
e 2928 453 target
e 2929 1049 source
e 2929 454 target
e 2930 1059 source
e 2930 1051 target
e 2931 1059 source
e 2931 1054 target
e 2932 1055 source
e 2932 1058 target
e 2933 1053 source
e 2933 1057 target
e 2934 1055 source
e 2934 1050 target
e 2936 1061 source
e 2936 1063 target
e 2937 1061 source
e 2937 1062 target
e 2938 1060 source
e 2938 1061 target
e 2939 1067 source
e 2939 1066 target
e 2940 1067 source
e 2940 1065 target
e 2942 1071 source
e 2942 1072 target
e 2943 1091 source
e 2943 462 target
e 2944 1128 source
e 2944 1130 target
e 2945 1126 source
e 2945 1127 target
e 2947 1132 source
e 2947 1134 target
e 2948 1132 source
e 2948 1133 target
e 2949 1144 source
e 2949 1142 target
e 2951 1142 source
e 2951 1143 target
e 2952 1141 source
e 2952 1145 target
e 2953 1140 source
e 2953 1139 target
e 2954 1155 source
e 2954 1160 target
e 2955 1159 source
e 2955 1167 target
e 2956 1147 source
e 2956 1159 target
e 2957 1159 source
e 2957 1046 target
e 2958 1152 source
e 2958 1157 target
e 2959 1148 source
e 2959 1045 target
e 2960 1164 source
e 2960 1170 target
e 2961 1168 source
e 2961 1169 target
e 2962 1167 source
e 2962 1147 target
e 2963 1167 source
e 2963 1045 target
e 2964 1164 source
e 2964 1166 target
e 2966 1189 source
e 2966 1180 target
e 2967 1189 source
e 2967 1181 target
e 2968 1188 source
e 2968 1179 target
e 2969 1187 source
e 2969 1185 target
e 2970 1187 source
e 2970 1180 target
e 2971 1186 source
e 2971 1183 target
e 2972 1173 source
e 2972 1186 target
e 2973 1181 source
e 2973 1185 target
e 2975 1184 source
e 2975 1174 target
e 2976 1184 source
e 2976 1175 target
e 2977 1176 source
e 2977 1183 target
e 2978 1182 source
e 2978 1178 target
e 2980 1176 source
e 2980 1173 target
e 2982 1173 target
e 2983 1195 source
e 2983 997 target
e 2985 1203 source
e 2985 1202 target
e 2986 1204 source
e 2986 719 target
e 2987 1213 source
e 2987 1211 target
e 2988 1212 source
e 2988 1211 target
e 2989 1211 source
e 2989 434 target
e 2990 1215 source
e 2990 1222 target
e 2991 1214 source
e 2991 1221 target
e 2992 1218 source
e 2992 1220 target
e 2993 1220 source
e 2993 1217 target
e 2994 1214 source
e 2994 1219 target
e 2995 1218 source
e 2995 1217 target
e 2996 1215 source
e 2996 1216 target
t # dcat-mlt-ufo2023
v 1 category
v 2 category
v 3 category
v 4 type
v 5 mode
v 6 relator
v 7 subkind
v 8 datatype
v 9 category
v 10 kind
v 11 kind
v 12 subkind
v 13 None
v 14 None
v 15 None
v 16 category
v 17 relator
v 18 quality
v 19 subkind
v 20 datatype
v 21 subkind
v 22 roleMixin
v 23 role
v 24 kind
v 25 relator
v 26 datatype
v 27 datatype
v 28 None
v 29 None
v 30 None
v 31 Generalization
v 32 Generalization
v 33 Generalization
v 34 Generalization
v 35 Generalization
v 36 Generalization
v 37 Generalization
v 38 Generalization
v 39 Generalization
v 40 Generalization
v 41 Generalization
v 42 Generalization
v 43 Generalization
v 44 Generalization
v 45 Generalization
v 46 Generalization
v 47 Generalization
v 48 relation
v 49 relation
v 50 relation
v 51 relation
v 52 characterization
v 53 relation
v 54 characterization
v 55 relation
v 56 mediation
v 57 mediation
v 58 relation
v 59 relation
v 60 relation
v 61 relation
v 62 relation
v 63 relation
v 64 relation
v 65 relation
v 66 relation
v 67 relation
v 68 relation
v 69 relation
v 70 mediation
v 71 relation
v 72 mediation
v 73 characterization
v 74 relation
v 75 relation
v 76 relation
v 77 mediation
v 78 mediation
e 31 9 general
e 31 10 specific
e 32 10 general
e 32 12 specific
e 33 9 general
e 33 11 specific
e 34 13 general
e 34 6 specific
e 35 13 general
e 35 5 specific
e 36 18 general
e 36 7 specific
e 37 16 general
e 37 22 specific
e 38 13 general
e 38 9 specific
e 39 14 general
e 39 16 specific
e 40 24 general
e 40 19 specific
e 41 14 general
e 41 18 specific
